module,top_tissue,n_enriched,best_term,best_source,best_p,top5_terms
M1,BLOOD_VESSEL,336,Molecules associated with elastic fibres,REAC,0.0,"Molecules associated with elastic fibres (REAC,p=0e+00); Integrin signaling (KEGG,p=0e+00); signaling (GO:BP,p=0e+00); positive regulation of locomotion (GO:BP,p=0e+00); cell junction organization (GO:BP,p=0e+00)"
M2,OVARY,70,transcription by RNA polymerase II,GO:BP,0.0,"transcription by RNA polymerase II (GO:BP,p=0e+00); RNA processing (GO:BP,p=0e+00); regulation of biosynthetic process (GO:BP,p=0e+00); regulation of macromolecule metabolic process (GO:BP,p=0e+00); regulation of transcription by RNA polymerase II (GO:BP,p=0e+00)"
M3,PITUITARY,25,nucleic acid metabolic process,GO:BP,0.0,"nucleic acid metabolic process (GO:BP,p=0e+00); RNA Polymerase II Transcription (REAC,p=2e-10); Gene expression (Transcription) (REAC,p=1e-09); nucleic acid biosynthetic process (GO:BP,p=2e-09); RNA biosynthetic process (GO:BP,p=1e-08)"
M4,TESTIS,51,organelle assembly,GO:BP,0.0,"organelle assembly (GO:BP,p=0e+00); sperm flagellum assembly (GO:BP,p=0e+00); cilium movement (GO:BP,p=2e-72); cilium-dependent cell motility (GO:BP,p=4e-58); cilium or flagellum-dependent cell motility (GO:BP,p=4e-58)"
M5,OVARY,70,Developmental Biology,REAC,0.0,"Developmental Biology (REAC,p=0e+00); Disease (REAC,p=0e+00); rRNA metabolic process (GO:BP,p=0e+00); SARS-CoV Infections (REAC,p=0e+00); rRNA processing (GO:BP,p=0e+00)"
M6,SALIVARY_GLAND,20,Cornified envelope formation,KEGG,4.4360000000000003e-07,"Cornified envelope formation (KEGG,p=4e-07); cell-cell junction organization (GO:BP,p=5e-06); Tight junction interactions (REAC,p=5e-05); tight junction assembly (GO:BP,p=9e-05); epithelial cell differentiation (GO:BP,p=2e-04)"
M7,TESTIS,191,DNA repair,GO:BP,0.0,"DNA repair (GO:BP,p=0e+00); Nucleocytoplasmic transport (KEGG,p=0e+00); macromolecule metabolic process (GO:BP,p=0e+00); M Phase (REAC,p=0e+00); Metabolism of RNA (REAC,p=0e+00)"
M8,TESTIS,339,Resolution of D-loop Structures through Holliday Junction Intermediates,REAC,0.0,"Resolution of D-loop Structures through Holliday Junction Intermediates (REAC,p=0e+00); Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function (REAC,p=0e+00); Defective homologous recombination repair (HRR) due to BRCA1 loss of function (REAC,p=0e+00); Defective homologous recombination repair (HRR) due to PALB2 loss of function (REAC,p=0e+00); Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function (REAC,p=0e+00)"
M9,BRAIN,96,modulation of chemical synaptic transmission,GO:BP,0.0,"modulation of chemical synaptic transmission (GO:BP,p=0e+00); regulation of trans-synaptic signaling (GO:BP,p=0e+00); neurotransmitter transport (GO:BP,p=0e+00); synaptic vesicle cycle (GO:BP,p=0e+00); synaptic signaling (GO:BP,p=9e-22)"
M10,SPLEEN,336,leukocyte migration,GO:BP,0.0,"leukocyte migration (GO:BP,p=0e+00); regulation of cell adhesion (GO:BP,p=0e+00); innate immune response-activating signaling pathway (GO:BP,p=0e+00); regulation of leukocyte differentiation (GO:BP,p=0e+00); regulation of biological process (GO:BP,p=0e+00)"
